studentCode,session,room,1-1,1-2,2-1,2-2,3-1,3-2
222361,IR3,100,37,9,0,0,17,13
7537,IR3,100,32,13,0,0,13,15
103082,IR3,101,64,15,0,0,20,19
525400,IR3,101,41,14,0,0,18,22
669075,IR3,102,55,18,0,0,16,8
881352,IR3,102,29,16,0,0,14,11
93657,IR3,103,23,10,0,0,10,10
604912,IR3,103,13,9,0,0,9,10
330734,IR3,104,43,11,0,0,18,6
574855,IR3,104,23,12,0,0,24,4
806988,IR3,105,39,17,0,0,17,11
791433,IR3,105,59,15,0,0,28,12
452294,IR3,106,25,11,0,0,16,12
100432,IR3,106,76,18,0,0,20,18
348877,IR3,107,41,19,0,0,17,13
740841,IR3,107,19,17,0,0,12,13
667806,IR3,108,74,28,0,0,28,44
994105,IR3,108,78,54,0,0,46,49
179059,IR3,109,71,21,0,0,31,17
333609,IR3,109,61,21,0,0,41,19
